company,added_modified,dollar_amount_float,moneyprize_received,donation_details,year,don_detail_amount,don_detail_txt,dollar_equivalent_amount
VIA,2010-01-10,0.0,,trip for 4 Montreal/Windsor $2600 value,2010,2600.0,trip for 4 montreal/windsor value,2600.0
ULTRAMAR,2010-01-10,500.0,yes,Silver - $500 in gas coupons,2010,500.0,silver - in gas coupons,500.0
FONDATION BBB,2010-01-10,5000.0,yes,Platinum,2010,,platinum,5000.0
SLEEMAN UNIBROUE INC,2010-01-10,0.0,,beer,2010,,beer,0.0
FRIENDS OF TROUSER LAKE,2010-01-10,500.0,,Mike will look into ad,2010,,mike will look into ad,500.0
SUNDAY NIGHT CURLING,2010-01-10,580.0,,Mike has collected $580 - will look into ad,2010,580.0,mike has collected - will look into ad,580.0
WESTJET,2010-01-10,0.0,yes  ,Trip for two anywhere they fly  $4600 value,2010,4600.0,trip for two anywhere they fly value,4600.0
EMPIRE,2010-01-10,150.0,yes,150,2010,,,150.0
EPICOR,2010-01-10,5000.0,yes,Gold,2010,,gold,5000.0
MONTREAL ALOUETTES,2010-01-10,0.0,yes,Alouettes football,2010,,alouettes football,0.0
MURIELLE LEBLANC,2010-01-10,0.0,yes,painting,2010,,painting,0.0
COLDWATER,2010-01-10,500.0,yes,Silver,2010,,silver,500.0
SUPERIOR ALLOY,2010-01-10,500.0, ,Silver,2010,,silver,500.0
THISTLE,2010-01-10,300.0,yes,$300 1/2 page,2010,300.0, 1/2 page,300.0
TUSK COIFFURE,2010-01-10,200.0,Yes - March 20,$200 ad,2010,200.0, ad,200.0
TUTINO EDWARDS JOSEPH,2010-01-10,100.0,yes,business card,2010,,business card,100.0
VINS PHILIPPE DANDURAND LTEE,2010-01-10,0.0,,12 bottles of wine for RMCC,2010,,12 bottles of wine for rmcc,0.0
AIR FRANCE,2010-01-10,0.0,,in-cabin luggage value of $150,2010,150.0,in-cabin luggage value of ,150.0
ETFS,2010-01-10,500.0,yes - received at home March 31st,Silver,2010,,silver,500.0
KELSON FINANCIAL PLANNERS,2010-01-10,100.0,yes,$100 business card,2010,100.0, business card,100.0
TEDDY S,2010-01-10,0.0,,Free food for TMR,2010,,free food for tmr,0.0
ARTISTIC,2010-01-10,0.0,,Promotional items,2010,,promotional items,0.0
LERNER PROMOTIONS,2010-01-10,0.0,,Promotional Considerations,2010,,promotional considerations,0.0
AUBRY,2010-01-10,0.0,,raffle tickets,2010,,raffle tickets,0.0
MR GRAPHIQUES,2010-01-10,0.0,,booklet,2010,,booklet,0.0
DRILLMEX,2010-02-10,500.0,Yes,Silver,2010,,silver,500.0
ADVANCED DYNAMICS,2010-02-10,500.0,Yes,Silver,2010,,silver,500.0
PERFORMANCE BROOMS,2010-02-10,0.0,,11 brooms,2010,,11 brooms,0.0
OLSON CURLING,2010-02-10,0.0,,curling equipment,2010,,curling equipment,0.0
MERCER,2010-02-10,0.0,,Jeans day,2010,,jeans day,0.0
MOMENTS PHOTOGRAPHY,2010-02-10,0.0,,Promotional items,2010,,promotional items,0.0
CONSTRUCTION C VEILLEUX,2010-02-10,100.0,Yes,100,2010,,,100.0
MARCON,2010-02-10,100.0,Yes,business card,2010,,business card,100.0
